0, 32, 1
1, 32, 2
2, 32, 3
3, 32, 4
4, 32, 5
5, 32, 6
6, 32, 7
7, 32, 8
8, 32, 9
9, 32, 10
10, 32, 11
11, 32, 12
12, 32, 13
13, 32, 14
14, 32, 15
15, 32, 16
16, 32, 17
17, 32, 18
18, 32, 19
19, 32, 20
20, 32, 21
21, 32, 22
22, 32, 23
23, 32, 24
24, 32, 25
25, 32, 26
26, 32, 27
27, 32, 28
28, 32, 29
29, 32, 30
15, 23, 31
30, 32, 31
31, 32, 0
33, 65, 34
34, 65, 35
35, 65, 36
36, 65, 37
37, 65, 38
38, 65, 39
39, 65, 40
40, 65, 41
41, 65, 42
42, 65, 43
43, 65, 44
44, 65, 45
45, 65, 46
46, 65, 47
47, 65, 48
48, 65, 49
49, 65, 50
50, 65, 51
51, 65, 52
52, 65, 53
53, 65, 54
54, 65, 55
55, 65, 56
56, 65, 57
57, 65, 58
58, 65, 59
59, 65, 60
60, 65, 61
61, 65, 62
62, 65, 63
48, 56, 64
63, 65, 64
64, 65, 33
31, 0, 1
1, 2, 3
3, 4, 5
5, 6, 7
7, 8, 9
9, 10, 11
11, 12, 13
13, 14, 15
15, 16, 17
17, 18, 19
19, 20, 21
21, 22, 23
23, 24, 25
25, 26, 27
27, 28, 29
29, 30, 31
31, 1, 3
3, 5, 7
7, 9, 11
11, 13, 15
15, 17, 19
19, 21, 23
23, 25, 27
27, 29, 31
31, 3, 7
7, 11, 15
15, 19, 23
23, 27, 31
31, 7, 15
64, 33, 34
34, 35, 36
36, 37, 38
38, 39, 40
40, 41, 42
42, 43, 44
44, 45, 46
46, 47, 48
48, 49, 50
50, 51, 52
52, 53, 54
54, 55, 56
56, 57, 58
58, 59, 60
60, 61, 62
62, 63, 64
64, 34, 36
36, 38, 40
40, 42, 44
44, 46, 48
48, 50, 52
52, 54, 56
56, 58, 60
60, 62, 64
64, 36, 40
40, 44, 48
48, 52, 56
56, 60, 64
64, 40, 48
